iter	RMSE
0	0.9767868642
1	0.9497082344
2	0.9237594113
3	0.8978882623
4	0.874329778
5	0.8543560782
6	0.8327406287
7	0.8118495889
8	0.792270654
9	0.7717591564
10	0.7523400354
11	0.7327262557
12	0.7151677518
13	0.6986268468
14	0.6824988181
15	0.6669245956
16	0.6522160437
17	0.6383568863
18	0.623781014
19	0.6101804666
20	0.597845006
21	0.5860046194
22	0.5745790687
23	0.5635940668
24	0.5531814873
25	0.5427685893
26	0.5321340969
27	0.5231533075
28	0.5137817499
29	0.5052941749
30	0.4977468357
31	0.4901126893
32	0.4824076268
33	0.4752946148
34	0.4676889949
35	0.4607061957
36	0.4534942804
37	0.4476695748
38	0.4407243465
39	0.4347350512
40	0.4289141411
41	0.4222408059
42	0.4171792655
43	0.4111228454
44	0.4058540885
45	0.4008559165
46	0.3964346306
47	0.3918839618
48	0.387863095
49	0.3841044321
50	0.3795832761
51	0.3747923894
52	0.3708471583
53	0.3667334994
54	0.3621694778
55	0.3591972739
56	0.355514667
57	0.3523929067
58	0.3487459368
59	0.3455275536
60	0.3423070128
61	0.339365178
62	0.3363589437
63	0.3330335344
64	0.3293865032
65	0.3265171149
66	0.3238717806
67	0.3210480301
68	0.3184491886
69	0.3164673045
70	0.3139948446
71	0.3115677109
72	0.3092189485
73	0.3070581489
74	0.3045277675
75	0.3017702479
76	0.2989209514
77	0.2970321202
78	0.2953559669
79	0.2932618966
80	0.2909327904
81	0.2889705208
82	0.2867405599
83	0.2849730783
84	0.2832096128
85	0.2816115581
86	0.2800385778
87	0.2786013024
88	0.2771675333
89	0.2756775672
90	0.2742970107
91	0.2729398928
92	0.271751576
93	0.2702534812
94	0.2691315471
95	0.2678325598
96	0.2666233741
97	0.2656080571
98	0.2645445019
99	0.2633282577
100	0.2623459651
101	0.2614437891
102	0.2607560776
103	0.2597078063
104	0.2591831861
105	0.2583567575
106	0.2573460275
107	0.2565692289
108	0.2552162477
109	0.2544022331
110	0.2535485659
111	0.2527501099
112	0.2518327636
113	0.2507705653
114	0.2496685134
115	0.2486733867
116	0.2482419553
117	0.2474467618
118	0.2465103238
119	0.2461925433
120	0.2458258452
121	0.2450584525
122	0.2442733431
123	0.244024506
124	0.243438627
125	0.2427812799
126	0.2419618051
127	0.2412073743
128	0.2405518577
129	0.2399280727
130	0.2391685426
131	0.2384143018
132	0.2377252751
133	0.237026873
134	0.2363164852
135	0.2355825319
136	0.2353607464
137	0.2348540802
138	0.2339444237
139	0.2333419847
140	0.2326220284
141	0.2316923584
142	0.2308985742
143	0.2304845698
144	0.2300903855
145	0.2297114627
146	0.2295004118
147	0.2292905331
148	0.2284133208
149	0.228098086
150	0.2279314105
151	0.2275516483
152	0.2271538747
153	0.2265750792
154	0.2263720496
155	0.2257724409
156	0.2252523477
157	0.2248885064
158	0.2245178337
159	0.2242994271
160	0.2236786275
161	0.2231242115
162	0.2226374383
163	0.222456497
164	0.2217236866
165	0.2215806121
