iter	Passed	Remaining
0	28	28204
1	47	23623
2	64	21446
3	77	19241
4	90	18084
5	103	17209
6	116	16499
7	130	16231
8	143	15841
9	161	15993
10	177	15963
11	189	15626
12	205	15565
13	215	15155
14	226	14843
15	236	14545
16	247	14329
17	258	14116
18	267	13808
19	278	13664
20	289	13518
21	299	13320
22	310	13203
23	325	13225
24	336	13113
25	346	12988
26	357	12893
27	369	12837
28	383	12830
29	392	12681
30	403	12609
31	414	12545
32	425	12478
33	436	12401
34	446	12318
35	457	12238
36	467	12176
37	479	12131
38	491	12101
39	502	12066
40	524	12274
41	533	12173
42	545	12131
43	555	12071
44	565	11992
45	575	11944
46	585	11876
47	596	11833
48	608	11801
49	617	11724
50	629	11704
51	640	11683
52	651	11644
53	663	11619
54	675	11606
55	687	11591
56	697	11547
57	711	11550
58	721	11512
59	734	11504
60	747	11504
61	762	11533
62	777	11562
63	792	11583
64	807	11621
65	820	11609
66	831	11574
67	840	11522
68	851	11485
69	870	11568
70	881	11536
71	895	11536
72	908	11537
73	922	11538
74	935	11540
75	948	11533
76	961	11530
77	974	11523
78	987	11510
79	1002	11527
80	1012	11486
81	1024	11471
82	1037	11462
83	1047	11424
84	1059	11408
85	1072	11394
86	1088	11424
87	1105	11457
88	1122	11493
89	1141	11546
90	1161	11601
91	1175	11599
92	1188	11586
93	1199	11560
94	1212	11555
95	1225	11540
96	1236	11515
97	1249	11503
98	1263	11495
99	1275	11476
100	1287	11455
101	1298	11432
102	1313	11441
103	1327	11433
104	1336	11390
105	1352	11409
106	1367	11410
107	1383	11425
108	1399	11436
109	1414	11448
110	1430	11459
111	1443	11446
112	1457	11439
113	1474	11457
114	1493	11494
115	1506	11479
116	1513	11418
117	1524	11392
118	1536	11372
119	1549	11360
120	1563	11356
121	1575	11334
122	1588	11327
123	1600	11308
124	1612	11288
125	1624	11271
126	1642	11290
127	1653	11267
128	1665	11244
129	1677	11224
130	1692	11224
131	1707	11229
132	1722	11225
133	1737	11226
134	1753	11234
135	1767	11229
136	1779	11207
137	1792	11194
138	1805	11181
139	1816	11156
140	1830	11150
141	1843	11140
142	1855	11122
143	1871	11127
144	1889	11139
145	1904	11142
146	1910	11086
147	1914	11022
148	1930	11026
149	1940	10997
150	1952	10980
151	1963	10956
152	1972	10920
153	1983	10894
154	1994	10872
155	2004	10845
156	2013	10813
157	2021	10772
158	2033	10754
159	2045	10740
160	2058	10724
161	2067	10692
162	2079	10678
163	2083	10620
164	2094	10597
165	2104	10571
166	2115	10553
167	2123	10514
168	2132	10484
169	2142	10461
170	2155	10447
171	2164	10419
172	2174	10395
173	2184	10370
174	2194	10346
175	2200	10301
176	2208	10268
177	2218	10244
178	2227	10216
179	2237	10194
180	2247	10167
181	2258	10150
182	2267	10122
183	2277	10100
184	2285	10067
185	2294	10039
186	2303	10014
187	2311	9984
188	2320	9956
189	2328	9926
190	2337	9901
191	2347	9878
192	2356	9854
193	2366	9832
194	2377	9814
195	2387	9795
196	2397	9773
197	2408	9757
198	2421	9746
199	2430	9722
200	2442	9707
201	2454	9695
202	2466	9682
203	2474	9656
204	2485	9637
205	2497	9627
206	2508	9608
207	2513	9570
208	2524	9553
209	2532	9528
210	2544	9513
211	2554	9495
212	2565	9479
213	2584	9492
214	2596	9478
215	2607	9464
216	2622	9461
217	2634	9448
218	2646	9436
219	2657	9423
220	2670	9413
221	2681	9397
222	2694	9388
223	2705	9373
224	2716	9358
225	2725	9335
226	2737	9320
227	2747	9302
228	2757	9283
229	2767	9266
230	2777	9245
231	2784	9218
232	2792	9192
233	2800	9168
234	2807	9140
235	2816	9118
236	2825	9097
237	2833	9073
238	2843	9053
239	2854	9039
240	2862	9016
241	2871	8995
242	2882	8980
243	2894	8967
244	2904	8950
245	2915	8935
246	2926	8922
247	2936	8904
248	2947	8891
249	2957	8871
250	2969	8860
251	2981	8850
252	2991	8832
253	2999	8810
254	3012	8800
255	3022	8783
256	3032	8766
257	3053	8780
258	3061	8758
259	3071	8742
260	3081	8725
261	3092	8710
262	3103	8695
263	3115	8686
264	3127	8674
265	3138	8659
266	3148	8643
267	3159	8629
268	3170	8616
269	3178	8593
270	3188	8578
271	3197	8557
272	3204	8534
273	3213	8513
274	3222	8495
275	3229	8472
276	3236	8447
277	3245	8428
278	3252	8405
279	3261	8386
280	3268	8363
281	3276	8343
282	3284	8322
283	3292	8301
284	3299	8277
285	3307	8255
286	3314	8235
287	3322	8212
288	3329	8192
289	3338	8173
290	3345	8151
291	3352	8129
292	3359	8107
293	3366	8085
294	3374	8063
